CLASS: PGNProvider	 METHOD: insert	 STATEMENTS COUNT: 31
CLASS: ChessPuzzleProvider	 METHOD: query	 STATEMENTS COUNT: 25
CLASS: ChessPuzzleProvider	 METHOD: insert	 STATEMENTS COUNT: 20
CLASS: GameControl	 METHOD: loadPGNHead	 STATEMENTS COUNT: 26
CLASS: GameControl	 METHOD: loadPGNMoves	 STATEMENTS COUNT: 96
CLASS: GameControl	 METHOD: requestMove	 STATEMENTS COUNT: 76
CLASS: GameControl	 METHOD: getDate	 STATEMENTS COUNT: 26
CLASS: JNI	 METHOD: newGame	 STATEMENTS COUNT: 35
CLASS: JNI	 METHOD: initFEN	 STATEMENTS COUNT: 88
CLASS: JNI	 METHOD: initRandomFisher	 STATEMENTS COUNT: 87
CLASS: A	 METHOD: f	 STATEMENTS COUNT: 21
